变量序号,变量类型,变量名,变量含义,备注
1,数值变量,age,银行客户年龄,无
2,类别变量,job,工作类型,"分类：{'admin.','blue-collar','entrepreneur','housemaid','management','retired','self-employed','services','student','technician','unemployed','unknown'}"
3,类别变量,marital,婚姻状况,"分类：{'divorced','married','single'}"
4,类别变量,education,教育情况,"分类：{primary','secondary','tertiary'}"
5,类别变量,default,是否信用违约,分类：{'是'，'不是'}
6,数值变量,balance,余额,无
7,类别变量,housing,是否有住房贷款,分类：{'是'，'不是'}
8,类别变量,loan,是否有个人贷款,分类：{'是'，'不是'}
9,类别变量,contact,联系方式类型,"分类：{'cellular','telephone'}"
10,类别变量,day,上次联系的日期（一个月中的几号）,无
11,类别变量,month,上次联系的月份,无
12,数值变量,duration,上次联系时长,无
13,数值变量,campaign,该次营销活动期间和客户联系的次数,999代表该客户以前没有联系过
14,数值变量,pdays,距离上次联系客户的间隔天数,无
15,数值变量,previous,该次营销活动之前和客户联系的次数,无
16,数值变量,poutcome,以往的营销活动的结果,"分类：{'unknown', 'failure','other','success'}"
17,类别变量,y,是否订阅定期存款,分类：{'是'，'不是'}